Acquirer,1,2,3,4,5
Carolina Alliance Bank,"ALLIANCE BANCSHARES, INC.",ALLIANCE BANCORP,"ALLEGIANCE BANCSHARES, INC.","FIRST ALLIANCE BANCSHARES, INC.",ALPINE BANKS OF COLORADO
Wintrust Financial,"TGR FINANCIAL, INC.","KRAUSE FINANCIAL, INC.",WOODTRUST FINANCIAL CORP,"SV FINANCIAL, INC.",WINTRUST FINANCIAL CORPORATION
First Finl Bankshares,"FIRST FINANCIAL BANKSHARES, INC.","TRUSTCO BANKSHARES, INC.","PIPER BANKSHARES, INC.","STATE BANKSHARES, INC.","FIRST FINANCIAL BANCSHARES, INC."
Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.","FINANCIAL SHARES, INC."
Unitedmmunity Banks,"BANKUNITED, INC.",COMMUNITY BANK CORP.,BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,"COMMUNITY BANKSHARES, INC."
Pinnacle Financial Partners,"PINNACLE FINANCIAL PARTNERS, INC.","HARTLAND FINANCIAL, INC.","FTS FINANCIAL, INC.",HANA FINANCIAL GROUP INC.,"HEARTLAND FINANCIAL USA, INC."
FNB Bancorp,FNB BANCORP,MNB BANCORP,FSB BANCORP,CNB BANCORP,RSNB BANCORP
Southwest Bancorp,"SOUTHWEST BANCORP, INC.","SOUTHWESTERN BANCORP, INC.",NORTHEAST BANCORP,FIRST NORTHWEST BANCORP,"SOUTHEASTERN BANCORP, INC."
BNC Bancorp,BNC BANCORP,NCAL BANCORP,CU BANCORP,BSB BANCORP INC.,"IBT BANCORP, INC."
PBB Bancorp,PBB BANCORP,CBB BANCORP,RBB BANCORP,TPB BANCORP,MNB BANCORP
First Merchants,FIRST MERCHANTS CORPORATION,MERCHANTS BANCORP,"MERCHANTS TRUST, INC.",FARMERS & MERCHANTS BANCORP,"MERCHANTS BANCORP, INC."
Nationalmmerce,"FARMERS BANCORPORATION, INC.",YALE BANCORPORATION,WESTAMERICA BANCORPORATION,"CALUMET BANCORPORATION, INC.",MERCANTILE BANK CORPORATION
Preferred Bank,"PREFERRED BANCORP, INC.",SEBREE BANKCORP,FREEDOM BANCORP,"CARPENTER BANK PARTNERS, INC.",FIRST PIONEER BANK CORP.
Glacier Bancorp,"GLACIER BANCORP, INC.",LIBERTY BANCORP,DELMAR BANCORP,SIERRA BANCORP,CUSTER BANCORP.
Prosperity Bancshares,"PROSPERITY BANCSHARES, INC.",SECURITY BANCSHARES CO.,"SECURITY BANCSHARES, INC.",SECURITY BANCSHARES CORPORATION,"BOSP BANCSHARES, INC."
Oak Valley Bancorp,OAK VALLEY BANCORP,"LAKE VALLEY BANCORP, INC.",VALLEY NATIONAL BANCORP,"VALLEY BANCORP, INC.",OHIO VALLEY BANC CORP.
Ameris Bancorp,AMERIS BANCORP,AMERIANA BANCORP,AMBANCORP,"AMERICAN BANCORP, INC.","USAMERIBANCORP, INC."
CenterState Banks,"CENTERSTATE BANKS, INC.",STATE BANK CORP.,"SUNTRUST BANKS, INC.","ROCHESTER STATE BANKSHARES, INC.",EXCHANGE STATE BANK CORP.
Yadkin Financial,"C1 FINANCIAL, INC.","MB FINANCIAL, INC.","SV FINANCIAL, INC.","HARTLAND FINANCIAL, INC.",YADKIN FINANCIAL CORPORATION
Southern BancShares(NC)Inc,"SOUTHERN BANCSHARES (N.C.), INC.","SOUTHERN BANCSHARES, INC.","SOUTHERN BANKSHARES, INC.","NORTHERN BANCSHARES, INC.","SOUTHERN FIRST BANCSHARES, INC."
German American Bancorp,"GERMAN AMERICAN BANCORP, INC.","AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"AMERICAN METRO BANCORP, INC.",AMERIANA BANCORP
Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",STATE BANK CORP.,FIRST BANK CORP,STATE BANK OF INDIA
County Bancorp,COUNTY BANK CORP,COMMUNITY BANCORP,TRI-COUNTY BANCORP.,"COUNTY BANCORP, INC.","COUNTRY BANCORP, INC."
Capital Bank Financial,CAPITAL BANK FINANCIAL CORP.,BLACK CAT FINANCIAL CORP,"CAPITAL BANCORP, INC.",CBB FINANCIAL CORP.,"BANCORP FINANCIAL, INC."
Charter Financial,ENTEGRA FINANCIAL CORP.,"SMARTFINANCIAL, INC.","CEDARSTONE FINANCIAL, INC.","FINANCIAL BANCSHARES, INC.",BNH FINANCIAL
Pacificmmerce Bank,TRANS PACIFIC BANCORP,"PACIFIC PREMIER BANCORP, INC.","COMMERCE BANCORP, INC","COMMERCE BANCORP, INC.",MERCANTILE BANK CORPORATION
First Merchants,FIRST MERCHANTS CORPORATION,MERCHANTS BANCORP,"MERCHANTS TRUST, INC.",FARMERS & MERCHANTS BANCORP,"MERCHANTS BANCORP, INC."
Unitedmmunity Banks,"BANKUNITED, INC.",COMMUNITY BANK CORP.,BRIDGE COMMUNITY BANK ESOP,COMMUNITY BANCORP,"COMMUNITY BANKSHARES, INC."
Sunshine Bancorp,SUSSEX BANCORP,SIDNEY BANCORP,"SUNSET BANCORP, INC.","ESSA BANCORP, INC.","FNBH BANCORP, INC."
PacWest Bancorp,PACWEST BANCORP,CALWEST BANCORP,COAST BANCORP,"EAST WEST BANCORP, INC.",ALL WEST BANCORP
Western Alliance Bancorp,WESTERN ALLIANCE BANCORPORATION,ALL WEST BANCORP,ALLIANCE BANCORP,"WESTERN ARIZONA BANCORP, INC.","ALLIANCE BANCSHARES, INC."
Seacoast Bankg of Florida,"BANK OF NOVA SCOTIA, THE",STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.",COAST BANCORP,"BRANNEN BANKS OF FLORIDA, INC."
Camden National,CAMDEN NATIONAL CORPORATION,AMG NATIONAL CORP.,AMES NATIONAL CORPORATION,LEWELLEN NATIONAL CORP.,DELTA NATIONAL BANCORP
